Sample	äwê∂é¿å±3TM_NaOH	
Comments	 	
Filename	C:\Users\User1\Desktop\DATA\äwê∂é¿å±3TM\äwê∂é¿å±3TM_NaOH_2É∆_É∆.raw	
Goniometer	MiniFlex 300/600 +	
Attachment	âÒì]ééóøë‰	
Monochromater	None	
X	0	
Y	0	
Z	0	
ScanningMode	2Theta/Theta	
ScanningType	Continuos Scanning	
X-Ray	40kV/15mA	
IHS	5.0mm	
DS	1.250deg	
SS	13.0mm(Open)	
RS	13.0mm(Open)	
K-beta(x1)		
Start	20	
Stop	80	
Step	0.01	
Speed	1	
Offset	0	20273
20	914	384.5084595
20.01	905	384.4640655
20.02	919	384.5331229
20.03	921	384.5429882
20.04	903	384.4542002
20.05	896	384.4196715
20.06	893	384.4048735
20.07	888	384.3802101
20.08	873	384.3062201
20.09	887	384.3752775
20.1	907	384.4739308
20.11	911	384.4936615
20.12	930	384.5873822
20.13	940	384.6367089
20.14	938	384.6268436
20.15	955	384.710699
20.16	944	384.6564396
20.17	927	384.5725842
20.18	935	384.6120456
20.19	951	384.6909683
20.2	981	384.8389484
20.21	933	384.6021802
20.22	920	384.5380555
20.23	911	384.4936615
20.24	904	384.4591328
20.25	943	384.6515069
20.26	946	384.6663049
20.27	948	384.6761703
20.28	939	384.6317763
20.29	908	384.4788635
20.3	926	384.5676516
20.31	914	384.5084595
20.32	898	384.4295368
20.33	858	384.2322301
20.34	873	384.3062201
20.35	894	384.4098061
20.36	915	384.5133922
20.37	914	384.5084595
20.38	894	384.4098061
20.39	907	384.4739308
20.4	923	384.5528535
20.41	933	384.6021802
20.42	938	384.6268436
20.43	939	384.6317763
20.44	904	384.4591328
20.45	891	384.3950081
20.46	903	384.4542002
20.47	950	384.6860356
20.48	946	384.6663049
20.49	935	384.6120456
20.5	909	384.4837962
20.51	919	384.5331229
20.52	901	384.4443348
20.53	911	384.4936615
20.54	907	384.4739308
20.55	893	384.4048735
20.56	900	384.4394022
20.57	928	384.5775169
20.58	920	384.5380555
20.59	923	384.5528535
20.6	908	384.4788635
20.61	887	384.3752775
20.62	905	384.4640655
20.63	942	384.6465743
20.64	953	384.7008336
20.65	948	384.6761703
20.66	952	384.695901
20.67	959	384.7304296
20.68	954	384.7057663
20.69	944	384.6564396
20.7	933	384.6021802
20.71	907	384.4739308
20.72	913	384.5035269
20.73	927	384.5725842
20.74	908	384.4788635
20.75	909	384.4837962
20.76	927	384.5725842
20.77	957	384.7205643
20.78	953	384.7008336
20.79	934	384.6071129
20.8	899	384.4344695
20.81	875	384.3160854
20.82	915	384.5133922
20.83	931	384.5923149
20.84	914	384.5084595
20.85	896	384.4196715
20.86	889	384.3851428
20.87	884	384.3604795
20.88	892	384.3999408
20.89	894	384.4098061
20.9	914	384.5084595
20.91	919	384.5331229
20.92	901	384.4443348
20.93	905	384.4640655
20.94	917	384.5232575
20.95	926	384.5676516
20.96	902	384.4492675
20.97	919	384.5331229
20.98	948	384.6761703
20.99	944	384.6564396
21	927	384.5725842
21.01	936	384.6169782
21.02	935	384.6120456
21.03	923	384.5528535
21.04	923	384.5528535
21.05	913	384.5035269
21.06	916	384.5183249
21.07	931	384.5923149
21.08	896	384.4196715
21.09	910	384.4887289
21.1	925	384.5627189
21.11	938	384.6268436
21.12	959	384.7304296
21.13	960	384.7353623
21.14	954	384.7057663
21.15	953	384.7008336
21.16	919	384.5331229
21.17	896	384.4196715
21.18	889	384.3851428
21.19	875	384.3160854
21.2	933	384.6021802
21.21	931	384.5923149
21.22	920	384.5380555
21.23	948	384.6761703
21.24	947	384.6712376
21.25	931	384.5923149
21.26	920	384.5380555
21.27	886	384.3703448
21.28	919	384.5331229
21.29	936	384.6169782
21.3	953	384.7008336
21.31	962	384.7452276
21.32	961	384.740295
21.33	926	384.5676516
21.34	889	384.3851428
21.35	895	384.4147388
21.36	923	384.5528535
21.37	961	384.740295
21.38	921	384.5429882
21.39	897	384.4246042
21.4	914	384.5084595
21.41	910	384.4887289
21.42	952	384.695901
21.43	973	384.799487
21.44	947	384.6712376
21.45	938	384.6268436
21.46	970	384.784689
21.47	969	384.7797563
21.48	936	384.6169782
21.49	926	384.5676516
21.5	895	384.4147388
21.51	896	384.4196715
21.52	920	384.5380555
21.53	940	384.6367089
21.54	923	384.5528535
21.55	897	384.4246042
21.56	887	384.3752775
21.57	915	384.5133922
21.58	934	384.6071129
21.59	899	384.4344695
21.6	909	384.4837962
21.61	937	384.6219109
21.62	924	384.5577862
21.63	926	384.5676516
21.64	941	384.6416416
21.65	922	384.5479209
21.66	936	384.6169782
21.67	934	384.6071129
21.68	955	384.710699
21.69	964	384.755093
21.7	965	384.7600256
21.71	935	384.6120456
21.72	913	384.5035269
21.73	921	384.5429882
21.74	948	384.6761703
21.75	954	384.7057663
21.76	962	384.7452276
21.77	956	384.7156316
21.78	963	384.7501603
21.79	926	384.5676516
21.8	912	384.4985942
21.81	914	384.5084595
21.82	935	384.6120456
21.83	951	384.6909683
21.84	925	384.5627189
21.85	885	384.3654121
21.86	903	384.4542002
21.87	913	384.5035269
21.88	929	384.5824496
21.89	935	384.6120456
21.9	946	384.6663049
21.91	948	384.6761703
21.92	931	384.5923149
21.93	938	384.6268436
21.94	923	384.5528535
21.95	906	384.4689982
21.96	897	384.4246042
21.97	938	384.6268436
21.98	964	384.755093
21.99	945	384.6613723
22	964	384.755093
22.01	964	384.755093
22.02	946	384.6663049
22.03	925	384.5627189
22.04	939	384.6317763
22.05	945	384.6613723
22.06	920	384.5380555
22.07	941	384.6416416
22.08	910	384.4887289
22.09	899	384.4344695
22.1	923	384.5528535
22.11	911	384.4936615
22.12	916	384.5183249
22.13	936	384.6169782
22.14	946	384.6663049
22.15	928	384.5775169
22.16	910	384.4887289
22.17	912	384.4985942
22.18	934	384.6071129
22.19	923	384.5528535
22.2	932	384.5972476
22.21	937	384.6219109
22.22	943	384.6515069
22.23	930	384.5873822
22.24	929	384.5824496
22.25	937	384.6219109
22.26	933	384.6021802
22.27	914	384.5084595
22.28	941	384.6416416
22.29	947	384.6712376
22.3	944	384.6564396
22.31	966	384.7649583
22.32	939	384.6317763
