Sample	äwê∂é¿å±3TM_NH3	
Comments	 	
Filename	C:\Users\User1\Desktop\DATA\äwê∂é¿å±3TM\äwê∂é¿å±3TM_NH3_2É∆_É∆.raw	
Goniometer	MiniFlex 300/600 +	
Attachment	âÒì]ééóøë‰	
Monochromater	None	
X	0	
Y	0	
Z	0	
ScanningMode	2Theta/Theta	
ScanningType	Continuos Scanning	
X-Ray	40kV/15mA	
IHS	5.0mm	
DS	1.250deg	
SS	13.0mm(Open)	
RS	13.0mm(Open)	
K-beta(x1)		
Start	20	
Stop	80	
Step	0.01	
Speed	1	
Offset	0	10539
20	858	268.1411899
20.01	866	268.2170984
20.02	833	267.9039757
20.03	817	267.7521586
20.04	849	268.0557928
20.05	853	268.093747
20.06	848	268.0463042
20.07	855	268.1127242
20.08	818	267.7616472
20.09	817	267.7521586
20.1	818	267.7616472
20.11	800	267.590853
20.12	801	267.6003416
20.13	820	267.7806243
20.14	820	267.7806243
20.15	821	267.7901129
20.16	833	267.9039757
20.17	843	267.9988614
20.18	831	267.8849986
20.19	808	267.6667616
20.2	802	267.6098302
20.21	809	267.6762501
20.22	827	267.8470443
20.23	829	267.8660214
20.24	812	267.7047158
20.25	830	267.87551
20.26	857	268.1317013
20.27	846	268.0273271
20.28	791	267.5054559
20.29	802	267.6098302
20.3	852	268.0842585
20.31	865	268.2076098
20.32	816	267.7426701
20.33	820	267.7806243
20.34	836	267.9324414
20.35	817	267.7521586
20.36	791	267.5054559
20.37	786	267.4580131
20.38	825	267.8280672
20.39	816	267.7426701
20.4	822	267.7996015
20.41	847	268.0368156
20.42	843	267.9988614
20.43	863	268.1886327
20.44	844	268.0083499
20.45	833	267.9039757
20.46	816	267.7426701
20.47	804	267.6288073
20.48	811	267.6952273
20.49	811	267.6952273
20.5	831	267.8849986
20.51	829	267.8660214
20.52	833	267.9039757
20.53	851	268.0747699
20.54	850	268.0652813
20.55	832	267.8944871
20.56	811	267.6952273
20.57	795	267.5434102
20.58	796	267.5528988
