1 _ 1,,,,,,,,,,
時間,試験力,ストローク,変位計1,変位計2,応力,ストローク(ひずみ),変位,変位(ひずみ),変位計1(ひずみ),変位計2(ひずみ)
sec,N,mm,mm,mm,N/mm2,%,mm,%,%,%
0,-0.353,0,0,0,-0.0706,0,0,0,0,0
0.01,-0.3205,1.67E-05,-2.12E-07,-8.36E-07,-0.0641,1.67E-05,-2.12E-07,-4.24E-07,-4.24E-07,-1.67E-06
0.02,-0.2895,7.50E-05,-5.48E-07,-1.61E-06,-0.0579,7.50E-05,-5.48E-07,-1.10E-06,-1.10E-06,-3.22E-06
0.03,-0.263,0.000166667,-1.07E-06,-2.31E-06,-0.0526,0.000166667,-1.07E-06,-2.14E-06,-2.14E-06,-4.62E-06
0.04,-0.242,0.000258333,-1.81E-06,-2.88E-06,-0.0484,0.000258333,-1.81E-06,-3.62E-06,-3.62E-06,-5.75E-06
0.05,-0.225,0.000366667,-2.66E-06,-3.22E-06,-0.045,0.000366667,-2.66E-06,-5.32E-06,-5.32E-06,-6.44E-06
0.06,-0.2075,0.000466667,-3.30E-06,-3.28E-06,-0.0415,0.000466667,-3.30E-06,-6.60E-06,-6.60E-06,-6.55E-06
0.07,-0.185,0.000558333,-3.46E-06,-3.10E-06,-0.037,0.000558333,-3.46E-06,-6.93E-06,-6.93E-06,-6.21E-06
0.08,-0.1535,0.00065,-2.90E-06,-2.67E-06,-0.0307,0.00065,-2.90E-06,-5.80E-06,-5.80E-06,-5.34E-06
0.09,-0.1125,0.000733333,-1.58E-06,-1.98E-06,-0.0225,0.000733333,-1.58E-06,-3.16E-06,-3.16E-06,-3.97E-06
0.1,-0.066,0.000816667,3.88E-07,-1.04E-06,-0.0132,0.000816667,3.88E-07,7.76E-07,7.76E-07,-2.08E-06
0.11,-0.016,0.0009,2.94E-06,4.00E-08,-0.0032,0.0009,2.94E-06,5.88E-06,5.88E-06,8.00E-08
0.12,0.037,0.000975,5.99E-06,1.17E-06,0.0074,0.000975,5.99E-06,1.20E-05,1.20E-05,2.34E-06
0.13,0.0945,0.001066667,9.34E-06,2.30E-06,0.0189,0.001066667,9.34E-06,1.87E-05,1.87E-05,4.61E-06
0.14,0.1565,0.00115,1.28E-05,3.43E-06,0.0313,0.00115,1.28E-05,2.56E-05,2.56E-05,6.86E-06
0.15,0.2205,0.001225,1.61E-05,4.39E-06,0.0441,0.001225,1.61E-05,3.23E-05,3.23E-05,8.78E-06
0.16,0.283,0.001316667,1.93E-05,5.07E-06,0.0566,0.001316667,1.93E-05,3.85E-05,3.85E-05,1.01E-05
0.17,0.3415,0.001391667,2.21E-05,5.46E-06,0.0683,0.001391667,2.21E-05,4.42E-05,4.42E-05,1.09E-05
