Simul_number,Time,A,c0,Mobility,k,Energy,c_mean
1,499.95,0.2,0.3,1,0.5,0.008815,0.2999
2,499.95,0.21,0.3,1,0.5,0.009255,0.2999
3,499.95,0.22,0.3,1,0.5,0.009699,0.3001
4,499.95,0.23,0.3,1,0.5,0.010134,0.3
5,499.95,0.24,0.3,1,0.5,0.010556,0.2999
6,499.95,0.25,0.3,1,0.5,0.010953,0.2999
7,499.95,0.26,0.3,1,0.5,0.0114,0.3
8,499.95,0.27,0.3,1,0.5,0.011559,0.3
9,499.95,0.28,0.3,1,0.5,0.010972,0.3
10,499.95,0.29,0.3,1,0.5,0.01104,0.2999
11,499.95,0.3,0.3,1,0.5,0.010463,0.3001
12,499.95,0.31,0.3,1,0.5,0.010265,0.2999
13,499.95,0.32,0.3,1,0.5,0.010495,0.3
14,499.95,0.33,0.3,1,0.5,0.010461,0.3
15,499.95,0.34,0.3,1,0.5,0.010833,0.3001
16,499.95,0.35,0.3,1,0.5,0.010733,0.3001
17,499.95,0.36,0.3,1,0.5,0.011322,0.2999
18,499.95,0.37,0.3,1,0.5,0.011639,0.3001
19,499.95,0.38,0.3,1,0.5,0.011265,0.2999
20,499.95,0.39,0.3,1,0.5,0.012403,0.2999
21,499.95,0.4,0.3,1,0.5,0.011586,0.2999
22,499.95,0.41,0.3,1,0.5,0.012679,0.3
23,499.95,0.42,0.3,1,0.5,0.012418,0.2999
24,499.95,0.43,0.3,1,0.5,0.012768,0.2999
25,499.95,0.44,0.3,1,0.5,0.013186,0.3
26,499.95,0.45,0.3,1,0.5,0.012741,0.2999
27,499.95,0.46,0.3,1,0.5,0.012814,0.3
28,499.95,0.47,0.3,1,0.5,0.013672,0.2999
29,499.95,0.48,0.3,1,0.5,0.013226,0.3001
30,499.95,0.49,0.3,1,0.5,0.013778,0.3001
31,499.95,0.5,0.3,1,0.5,0.01417,0.3
32,499.95,0.51,0.3,1,0.5,0.013839,0.3
33,499.95,0.52,0.3,1,0.5,0.013863,0.2999
34,499.95,0.53,0.3,1,0.5,0.014091,0.2998
35,499.95,0.54,0.3,1,0.5,0.014551,0.3001
36,499.95,0.55,0.3,1,0.5,0.014165,0.2999
37,499.95,0.56,0.3,1,0.5,0.015458,0.3
38,499.95,0.57,0.3,1,0.5,0.015584,0.3
39,499.95,0.58,0.3,1,0.5,0.015392,0.2999
40,499.95,0.59,0.3,1,0.5,0.015137,0.2999
41,499.95,0.6,0.3,1,0.5,0.016116,0.3001
42,499.95,0.61,0.3,1,0.5,0.015859,0.3
43,499.95,0.62,0.3,1,0.5,0.015163,0.3001
44,499.95,0.63,0.3,1,0.5,0.014538,0.3
45,499.95,0.64,0.3,1,0.5,0.015114,0.2999
46,499.95,0.65,0.3,1,0.5,0.015442,0.3
47,499.95,0.66,0.3,1,0.5,0.015954,0.3
48,499.95,0.67,0.3,1,0.5,0.015192,0.3002
49,499.95,0.68,0.3,1,0.5,0.016843,0.3001
50,499.95,0.69,0.3,1,0.5,0.016503,0.3
51,499.95,0.7,0.3,1,0.5,0.016795,0.3
52,499.95,0.71,0.3,1,0.5,0.016902,0.3
53,499.95,0.72,0.3,1,0.5,0.016227,0.3
54,499.95,0.73,0.3,1,0.5,0.016749,0.3
55,499.95,0.74,0.3,1,0.5,0.016065,0.3
56,499.95,0.75,0.3,1,0.5,0.016868,0.3
