"1 _ 1",,,,,,,,,,
"時間","試験力","ストローク","変位計1","変位計2","応力","ストローク(ひずみ)","変位","変位(ひずみ)","変位計1(ひずみ)","変位計2(ひずみ)"
"sec","N","mm","mm","mm","N/mm2","%","mm","%","%","%"
"0","-0.2875","0","0","0","-0.0575","0","0","0","0","0"
"0.01","-0.288","8.333333E-06","-2.142E-09","-4.8552E-08","-0.0576","8.333333E-06","-2.142E-09","-4.284E-08","-4.284E-08","-9.7104E-07"
"0.02","-0.2855","3.333333E-05","-8.092E-09","-8.4966E-08","-0.0571","3.333333E-05","-8.092E-09","-1.6184E-07","-1.6184E-07","-1.69932E-06"
"0.03","-0.2805","0.0001083333","-1.9278E-08","-1.07814E-07","-0.0561","0.0001083333","-1.9278E-08","-3.8556E-07","-3.8556E-07","-2.15628E-06"
"0.04","-0.2745","0.0002166667","-3.1178E-08","-1.12574E-07","-0.0549","0.0002166667","-3.1178E-08","-6.2356E-07","-6.2356E-07","-2.25148E-06"
"0.05","-0.2695","0.00035","-3.57E-08","-9.163E-08","-0.0539","0.00035","-3.57E-08","-7.14E-07","-7.14E-07","-1.8326E-06"
"0.06","-0.26","0.0004666667","-1.0948E-08","-1.8564E-08","-0.052","0.0004666667","-1.0948E-08","-2.1896E-07","-2.1896E-07","-3.7128E-07"
"0.07","-0.235","0.0005583334","7.7826E-08","1.53748E-07","-0.047","0.0005583334","7.7826E-08","1.55652E-06","1.55652E-06","3.07496E-06"
"0.08","-0.185","0.0006416667","2.77746E-07","4.88852E-07","-0.037","0.0006416667","2.77746E-07","5.55492E-06","5.55492E-06","9.777041E-06"
"0.09","-0.099","0.0007333333","6.2951E-07","1.04958E-06","-0.0198","0.0007333333","6.2951E-07","1.25902E-05","1.25902E-05","2.09916E-05"
"0.1","0.0305","0.0008083333","1.164534E-06","1.886388E-06","0.0061","0.0008083333","1.164534E-06","2.329068E-05","2.329068E-05","3.772776E-05"
"0.11","0.2095","0.0008916667","1.898288E-06","3.028312E-06","0.0419","0.0008916667","1.898288E-06","3.796576E-05","3.796576E-05","6.056624E-05"
"0.12","0.437","0.000975","2.834818E-06","4.485586E-06","0.0874","0.000975","2.834818E-06","5.669636E-05","5.669636E-05","8.971172E-05"
"0.13","0.709","0.001058333","3.964366E-06","6.24631E-06","0.1418","0.001058333","3.964366E-06","7.928732E-05","7.928732E-05","0.0001249262"
"0.14","1.0195","0.001141667","5.271462E-06","8.285257E-06","0.2039","0.001141667","5.271462E-06","0.0001054292","0.0001054292","0.0001657051"
"0.15","1.3575","0.001225","6.732068E-06","1.05672E-05","0.2715","0.001225","6.732068E-06","0.0001346414","0.0001346414","0.000211344"
"0.16","1.714","0.001308333","8.321432E-06","1.305573E-05","0.3428","0.001308333","8.321432E-06","0.0001664286","0.0001664286","0.0002611146"
"0.17","2.082","0.001391667","1.001766E-05","1.571157E-05","0.4164","0.001391667","1.001766E-05","0.0002003532","0.0002003532","0.0003142314"
"0.18","2.4585","0.001475","1.180147E-05","1.850283E-05","0.4917","0.001475","1.180147E-05","0.0002360294","0.0002360294","0.0003700567"
"0.19","2.845","0.001558333","1.36512E-05","2.139858E-05","0.569","0.001558333","1.36512E-05","0.0002730241","0.0002730241","0.0004279716"
"0.2","3.2405","0.001641667","1.554973E-05","2.437548E-05","0.6481","0.001641667","1.554973E-05","0.0003109946","0.0003109946","0.0004875097"
"0.21","3.644","0.001725","1.74811E-05","2.741141E-05","0.7288","0.001725","1.74811E-05","0.000349622","0.000349622","0.0005482282"
"0.22","4.054","0.001816667","1.943794E-05","3.048685E-05","0.8108","0.001816667","1.943794E-05","0.0003887588","0.0003887588","0.0006097369"
"0.23","4.471","0.001891667","2.141143E-05","3.358418E-05","0.8942","0.001891667","2.141143E-05","0.0004282286","0.0004282286","0.0006716836"
"0.24","4.8955","0.001975","2.339635E-05","3.669151E-05","0.9790999","0.001975","2.339635E-05","0.000467927","0.000467927","0.0007338302"
"0.25","5.3245","0.002058333","2.538627E-05","3.979527E-05","1.0649","0.002058333","2.538627E-05","0.0005077254","0.0005077254","0.0007959054"
"0.26","5.7565","0.002141667","2.737904E-05","4.288903E-05","1.1513","0.002141667","2.737904E-05","0.0005475809","0.0005475809","0.0008577806"
"0.27","6.191","0.002233333","2.937111E-05","4.596708E-05","1.2382","0.002233333","2.937111E-05","0.0005874221","0.0005874221","0.0009193417"
"0.28","6.6255","0.002308333","3.136174E-05","4.902919E-05","1.3251","0.002308333","3.136174E-05","0.0006272348","0.0006272348","0.0009805838"
"0.29","7.056","0.002391667","3.334666E-05","5.207773E-05","1.4112","0.002391667","3.334666E-05","0.0006669331","0.0006669331","0.001041555"
"0.3","7.483","0.002475","3.532491E-05","5.511794E-05","1.4966","0.002475","3.532491E-05","0.0007064983","0.0007064983","0.001102359"
"0.31","7.906","0.002558333","3.729294E-05","5.815268E-05","1.5812","0.002558333","3.729294E-05","0.0007458587","0.0007458587","0.001163054"
"0.32","8.3275","0.002641667","3.92512E-05","6.118599E-05","1.6655","0.002641667","3.92512E-05","0.000785024","0.000785024","0.00122372"
"0.33","8.747999","0.002725","4.120161E-05","6.422121E-05","1.7496","0.002725","4.120161E-05","0.0008240322","0.0008240322","0.001284424"
"0.34","9.1685","0.002816667","4.314892E-05","6.726261E-05","1.8337","0.002816667","4.314892E-05","0.0008629785","0.0008629785","0.001345252"
"0.35","9.587501","0.0029","4.509481E-05","7.030948E-05","1.9175","0.0029","4.509481E-05","0.0009018963","0.0009018963","0.00140619"
"0.36","10.006","0.002975","4.704546E-05","7.335874E-05","2.0012","0.002975","4.704546E-05","0.0009409093","0.0009409093","0.001467175"
"0.37","10.4275","0.003066667","4.900158E-05","7.640752E-05","2.0855","0.003066667","4.900158E-05","0.0009800317","0.0009800317","0.00152815"
"0.38","10.851","0.003141667","5.096437E-05","7.945821E-05","2.1702","0.003141667","5.096437E-05","0.001019287","0.001019287","0.001589164"
"0.39","11.277","0.003233333","5.293144E-05","8.250961E-05","2.2554","0.003233333","5.293144E-05","0.001058629","0.001058629","0.001650192"
"0.4","11.703","0.003316667","5.490375E-05","8.556172E-05","2.3406","0.003316667","5.490375E-05","0.001098075","0.001098075","0.001711234"
"0.41","12.1265","0.003391667","5.687819E-05","8.86124E-05","2.4253","0.003391667","5.687819E-05","0.001137564","0.001137564","0.001772248"
"0.42","12.543","0.003483333","5.885573E-05","9.166142E-05","2.5086","0.003483333","5.885573E-05","0.001177115","0.001177115","0.001833228"
"0.43","12.9525","0.003558333","6.083399E-05","9.470568E-05","2.5905","0.003558333","6.083399E-05","0.00121668","0.00121668","0.001894113"
"0.44","13.3575","0.00365","6.281296E-05","9.77435E-05","2.6715","0.00365","6.281296E-05","0.001256259","0.001256259","0.00195487"
"0.45","13.762","0.003733333","6.47905E-05","0.0001007735","2.7524","0.003733333","6.47905E-05","0.00129581","0.00129581","0.00201547"
"0.46","14.167","0.003808333","6.6769E-05","0.0001037989","2.8334","0.003808333","6.6769E-05","0.00133538","0.00133538","0.002075979"
"0.47","14.5735","0.0039","6.874844E-05","0.000106818","2.9147","0.0039","6.874844E-05","0.001374969","0.001374969","0.002136359"
"0.48","14.984","0.003983333","7.073122E-05","0.0001098282","2.9968","0.003983333","7.073122E-05","0.001414624","0.001414624","0.002196564"
"0.49","15.3995","0.004058334","7.271638E-05","0.0001128287","3.0799","0.004058334","7.271638E-05","0.001454328","0.001454328","0.002256573"
"0.5","15.8205","0.004141667","7.470535E-05","0.0001158203","3.1641","0.004141667","7.470535E-05","0.001494107","0.001494107","0.002316406"
"0.51","16.248","0.004225","7.669669E-05","0.000118806","3.2496","0.004225","7.669669E-05","0.001533934","0.001533934","0.002376121"
"0.52","16.6795","0.004308333","7.868994E-05","0.0001217944","3.3359","0.004308333","7.868994E-05","0.001573799","0.001573799","0.002435887"
"0.53","17.115","0.0044","8.068224E-05","0.0001247891","3.423","0.0044","8.068224E-05","0.001613645","0.001613645","0.002495782"
"0.54","17.551","0.004475","8.267454E-05","0.0001277951","3.5102","0.004475","8.267454E-05","0.001653491","0.001653491","0.002555901"
"0.55","17.982","0.004566667","8.466374E-05","0.0001308119","3.5964","0.004566667","8.466374E-05","0.001693275","0.001693275","0.002616239"
"0.56","18.4065","0.00465","8.664866E-05","0.0001338381","3.6813","0.00465","8.664866E-05","0.001732973","0.001732973","0.002676762"
"0.57","18.826","0.004725","8.862787E-05","0.0001368712","3.7652","0.004725","8.862787E-05","0.001772557","0.001772557","0.002737424"
"0.58","19.245","0.004808333","9.060327E-05","0.0001399102","3.849","0.004808333","9.060327E-05","0.001812065","0.001812065","0.002798204"
"0.59","19.6635","0.004891667","9.257201E-05","0.0001429507","3.9327","0.004891667","9.257201E-05","0.00185144","0.00185144","0.002859013"
"0.6","20.0795","0.004975","9.453337E-05","0.0001459918","4.0159","0.004975","9.453337E-05","0.001890667","0.001890667","0.002919836"
"0.61","20.49","0.005066667","9.648782E-05","0.0001490311","4.098","0.005066667","9.648782E-05","0.001929756","0.001929756","0.002980622"
"0.62","20.8935","0.005141667","9.843871E-05","0.000152067","4.1787","0.005141667","9.843871E-05","0.001968774","0.001968774","0.00304134"
"0.63","21.2925","0.005233333","0.0001003858","0.0001550956","4.2585","0.005233333","0.0001003858","0.002007716","0.002007716","0.003101911"
"0.64","21.6915","0.005308333","0.0001023312","0.0001581139","4.3383","0.005308333","0.0001023312","0.002046624","0.002046624","0.003162278"
"0.65","22.094","0.005391667","0.0001042768","0.0001611201","4.4188","0.005391667","0.0001042768","0.002085537","0.002085537","0.003222401"
"0.66","22.499","0.005483333","0.0001062268","0.0001641184","4.4998","0.005483333","0.0001062268","0.002124536","0.002124536","0.003282367"
"0.67","22.9065","0.005558333","0.0001081796","0.0001671103","4.5813","0.005558333","0.0001081796","0.002163591","0.002163591","0.003342206"
"0.68","23.3145","0.00565","0.0001101345","0.0001700995","4.6629","0.00565","0.0001101345","0.00220269","0.00220269","0.003401991"
"0.69","23.7195","0.005733334","0.000112089","0.0001730879","4.7439","0.005733334","0.000112089","0.002241779","0.002241779","0.003461758"
"0.7","24.121","0.005808333","0.0001140437","0.0001760767","4.8242","0.005808333","0.0001140437","0.002280873","0.002280873","0.003521534"
"0.71","24.522","0.0059","0.0001159967","0.0001790619","4.9044","0.0059","0.0001159967","0.002319934","0.002319934","0.003581238"
"0.72","24.9275","0.005975","0.0001179492","0.0001820422","4.9855","0.005975","0.0001179492","0.002358985","0.002358985","0.003640843"
"0.73","25.3395","0.006058333","0.0001199004","0.0001850119","5.0679","0.006058333","0.0001199004","0.002398007","0.002398007","0.003700238"
"0.74","25.7565","0.00615","0.0001218522","0.0001879695","5.1513","0.00615","0.0001218522","0.002437044","0.002437044","0.003759391"
"0.75","26.178","0.006225","0.0001238045","0.0001909143","5.2356","0.006225","0.0001238045","0.00247609","0.00247609","0.003818286"
"0.76","26.6015","0.006316667","0.000125759","0.0001938484","5.3203","0.006316667","0.000125759","0.002515179","0.002515179","0.003876968"
"0.77","27.025","0.006391667","0.0001277141","0.0001967756","5.405","0.006391667","0.0001277141","0.002554283","0.002554283","0.003935511"
"0.78","27.446","0.006475","0.0001296705","0.0001997027","5.4892","0.006475","0.0001296705","0.00259341","0.00259341","0.003994054"
"0.79","27.8665","0.006566667","0.0001316235","0.000202633","5.5733","0.006566667","0.0001316235","0.002632471","0.002632471","0.004052659"
"0.8","28.288","0.006641667","0.000133572","0.0002055723","5.6576","0.006641667","0.000133572","0.002671441","0.002671441","0.004111446"
"0.81","28.711","0.006733333","0.0001355139","0.0002085225","5.7422","0.006733333","0.0001355139","0.002710277","0.002710277","0.00417045"
