1 _ 1,,,,,,,,,,
時間,試験力,ストローク,変位計1,変位計2,応力,ストローク(ひずみ),変位,変位(ひずみ),変位計1(ひずみ),変位計2(ひずみ)
sec,N,mm,mm,mm,N/mm2,%,mm,%,%,%
0,-0.3125,0,0,0,-0.0625,0,0,0,0,0
0.01,-0.299,1.67E-05,-5.60E-08,1.03E-06,-0.0598,1.67E-05,-5.60E-08,-1.12E-07,-1.12E-07,2.06E-06
0.02,-0.2915,4.17E-05,8.32E-07,1.31E-06,-0.0583,4.17E-05,8.32E-07,1.66E-06,1.66E-06,2.62E-06
0.03,-0.2945,0.000116667,2.56E-06,7.68E-07,-0.0589,0.000116667,2.56E-06,5.12E-06,5.12E-06,1.54E-06
0.04,-0.305,0.000233333,4.84E-06,-4.40E-07,-0.061,0.000233333,4.84E-06,9.67E-06,9.67E-06,-8.80E-07
0.05,-0.3155,0.000358333,6.83E-06,-1.52E-06,-0.0631,0.000358333,6.83E-06,1.37E-05,1.37E-05,-3.03E-06
0.06,-0.3185,0.000475,7.02E-06,-6.80E-07,-0.06370001,0.000475,7.02E-06,1.40E-05,1.40E-05,-1.36E-06
0.07,-0.307,0.000575,2.94E-06,4.85E-06,-0.0614,0.000575,2.94E-06,5.89E-06,5.89E-06,9.70E-06
0.08,-0.2775,0.00065,-8.24E-06,1.87E-05,-0.05549999,0.00065,-8.24E-06,-1.65E-05,-1.65E-05,3.73E-05
0.09,-0.227,0.000733333,-2.92E-05,4.42E-05,-0.0454,0.000733333,-2.92E-05,-5.83E-05,-5.83E-05,8.84E-05
0.1,-0.154,0.000816667,-6.16E-05,8.41E-05,-0.0308,0.000816667,-6.16E-05,-0.00012312,-0.00012312,0.00016824
0.11,-0.057,0.0009,-0.000106344,0.000139644,-0.0114,0.0009,-0.000106344,-0.000212688,-0.000212688,0.000279288
0.12,0.0665,0.000983333,-0.00016354,0.000210952,0.0133,0.000983333,-0.00016354,-0.00032708,-0.00032708,0.000421904
0.13,0.2155,0.001066667,-0.000232596,0.000297224,0.0431,0.001066667,-0.000232596,-0.000465192,-0.000465192,0.000594448
0.14,0.388,0.00115,-0.000312368,0.00039704,0.07759999,0.00115,-0.000312368,-0.000624736,-0.000624736,0.00079408
0.15,0.579,0.001241667,-0.000401368,0.000508608,0.1158,0.001241667,-0.000401368,-0.000802736,-0.000802736,0.001017216
0.16,0.7825,0.001316667,-0.000498036,0.000630112,0.1565,0.001316667,-0.000498036,-0.000996072,-0.000996072,0.001260224
0.17,0.9925,0.0014,-0.00060082,0.00075958,0.1985,0.0014,-0.00060082,-0.00120164,-0.00120164,0.00151916
0.18,1.2055,0.001491667,-0.000708292,0.000895324,0.2411,0.001491667,-0.000708292,-0.001416584,-0.001416584,0.001790648
0.19,1.4205,0.001566667,-0.000819296,0.001035836,0.2841,0.001566667,-0.000819296,-0.001638592,-0.001638592,0.002071672
0.2,1.637,0.00165,-0.000932784,0.001179692,0.3274,0.00165,-0.000932784,-0.001865568,-0.001865568,0.002359384
0.21,1.8555,0.001733333,-0.001047896,0.00132564,0.3711,0.001733333,-0.001047896,-0.002095792,-0.002095792,0.00265128
0.22,2.0735,0.001816667,-0.001163748,0.0014726,0.4147,0.001816667,-0.001163748,-0.002327496,-0.002327496,0.0029452
0.23,2.287,0.001908333,-0.001279708,0.001619672,0.4574,0.001908333,-0.001279708,-0.002559416,-0.002559416,0.003239344
0.24,2.4915,0.001983333,-0.00139536,0.001766308,0.4983,0.001983333,-0.00139536,-0.00279072,-0.00279072,0.003532616
0.25,2.6875,0.002075,-0.001510536,0.001912152,0.5375,0.002075,-0.001510536,-0.003021072,-0.003021072,0.003824304
0.26,2.877,0.00215,-0.001625108,0.002057144,0.5754,0.00215,-0.001625108,-0.003250216,-0.003250216,0.004114288
0.27,3.0615,0.002233333,-0.00173896,0.002201232,0.6123,0.002233333,-0.00173896,-0.00347792,-0.00347792,0.004402464
0.28,3.246,0.002325,-0.001852048,0.00234456,0.6492,0.002325,-0.001852048,-0.003704096,-0.003704096,0.00468912
0.29,3.434,0.0024,-0.001964448,0.0024873,0.6868,0.0024,-0.001964448,-0.003928896,-0.003928896,0.0049746
0.3,3.629,0.002483333,-0.002076192,0.002629688,0.7258,0.002483333,-0.002076192,-0.004152384,-0.004152384,0.005259376
