TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/06/07
TIME	15:35:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-730, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700
LASTX	500
NPOINTS	1001
FIRSTY	0.199896
MAXY	1.35687
MINY	0.133674
XYDATA
700	0.199896
699.8	0.202118
699.6	0.204424
699.4	0.206665
699.2	0.208991
699	0.211436
698.8	0.213901
698.6	0.216378
698.4	0.218938
698.2	0.221544
698	0.224183
697.8	0.226953
697.6	0.229757
697.4	0.232529
697.2	0.235402
697	0.238391
696.8	0.241366
696.6	0.244377
696.4	0.24753
696.2	0.250764
696	0.253998
695.8	0.257311
695.6	0.260704
695.4	0.264164
695.2	0.267698
695	0.27132
694.8	0.275033
694.6	0.278798
694.4	0.282621
694.2	0.286553
694	0.290656
693.8	0.294826
693.6	0.299009
693.4	0.303269
693.2	0.30768
693	0.312146
692.8	0.316633
692.6	0.321277
692.4	0.326011
692.2	0.330854
692	0.335779
691.8	0.340709
691.6	0.345815
691.4	0.35107
691.2	0.356335
691	0.361698
690.8	0.367269
690.6	0.372888
690.4	0.378506
690.2	0.384286
690	0.390242
689.8	0.396229
689.6	0.402293
689.4	0.408561
689.2	0.414946
689	0.421378
688.8	0.427908
688.6	0.434565
688.4	0.441296
688.2	0.448164
688	0.455148
687.8	0.462214
687.6	0.469492
687.4	0.476848
687.2	0.484294
687	0.491926
686.8	0.499689
686.6	0.507525
686.4	0.515482
686.2	0.523576
686	0.531823
685.8	0.540174
685.6	0.548542
685.4	0.557065
685.2	0.565785
685	0.574606
684.8	0.58342
684.6	0.592398
684.4	0.601539
684.2	0.610729
684	0.620119
683.8	0.629663
683.6	0.639295
683.4	0.648978
683.2	0.658736
683	0.668703
682.8	0.678712
682.6	0.688729
682.4	0.698732
682.2	0.708755
682	0.719002
681.8	0.729381
681.6	0.739676
681.4	0.750074
681.2	0.760676
681	0.771197
680.8	0.781699
680.6	0.792352
680.4	0.803143
680.2	0.813968
680	0.824775
679.8	0.835628
679.6	0.846643
679.4	0.857533
679.2	0.868356
679	0.879319
678.8	0.890241
678.6	0.901038
678.4	0.911789
678.2	0.922637
678	0.933638
677.8	0.944614
677.6	0.955351
677.4	0.966032
677.2	0.976801
677	0.987576
676.8	0.998261
676.6	1.0088
676.4	1.01939
676.2	1.02992
676	1.04019
675.8	1.05044
675.6	1.06076
675.4	1.07106
675.2	1.08111
675	1.09107
674.8	1.10109
674.6	1.11094
674.4	1.1205
674.2	1.12981
674	1.13906
673.8	1.14831
673.6	1.15729
673.4	1.16606
673.2	1.17478
673	1.18331
672.8	1.19154
672.6	1.1996
672.4	1.20751
672.2	1.21521
672	1.22289
671.8	1.2303
671.6	1.23733
671.4	1.2444
671.2	1.25133
671	1.25796
670.8	1.26432
670.6	1.27033
670.4	1.27618
670.2	1.28194
670	1.28748
669.8	1.2927
669.6	1.29758
669.4	1.30235
669.2	1.30703
669	1.3114
668.8	1.31559
668.6	1.31941
668.4	1.32312
668.2	1.32671
668	1.33006
667.8	1.33324
667.6	1.33609
667.4	1.33885
667.2	1.34132
667	1.3436
666.8	1.34583
666.6	1.3477
666.4	1.34938
666.2	1.35086
666	1.3522
665.8	1.35331
665.6	1.35429
665.4	1.35517
665.2	1.35581
665	1.35636
664.8	1.35665
664.6	1.35678
664.4	1.35687
664.2	1.35668
664	1.35641
663.8	1.3561
663.6	1.35538
663.4	1.3545
663.2	1.3536
663	1.35257
662.8	1.35148
662.6	1.35026
662.4	1.34882
662.2	1.34731
662	1.34584
661.8	1.34419
661.6	1.34238
661.4	1.34038
661.2	1.33828
661	1.33626
660.8	1.33413
660.6	1.33181
660.4	1.32947
660.2	1.32702
660	1.32451
659.8	1.32201
659.6	1.31932
659.4	1.31662
659.2	1.31401
659	1.31114
658.8	1.30823
658.6	1.3054
658.4	1.30241
658.2	1.29933
658	1.29627
657.8	1.29319
657.6	1.28994
657.4	1.28671
657.2	1.28348
657	1.28025
656.8	1.27701
656.6	1.27364
656.4	1.27032
