TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/07/05
TIME	20:10:00
SPECTROMETER/DATA SYSTEM	JASCO Corp, V-630, Rev. 1.00
RESOLUTION	
DELTAX	-1.000000
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	-0.000830
MAXY	0.084462
MINY	-0.001035
XYDATA
800.000000	-0.000830
799.000000	-0.000823
798.000000	-0.000821
797.000000	-0.000816
796.000000	-0.000801
795.000000	-0.000798
794.000000	-0.000794
793.000000	-0.000786
792.000000	-0.000791
791.000000	-0.000785
790.000000	-0.000784
789.000000	-0.000778
788.000000	-0.000776
787.000000	-0.000777
786.000000	-0.000771
785.000000	-0.000783
784.000000	-0.000788
783.000000	-0.000793
782.000000	-0.000809
781.000000	-0.000815
780.000000	-0.000828
779.000000	-0.000843
778.000000	-0.000857
777.000000	-0.000880
776.000000	-0.000887
775.000000	-0.000900
774.000000	-0.000902
773.000000	-0.000900
772.000000	-0.000910
771.000000	-0.000912
770.000000	-0.000925
769.000000	-0.000933
768.000000	-0.000937
767.000000	-0.000947
766.000000	-0.000957
765.000000	-0.000966
764.000000	-0.000977
763.000000	-0.000988
762.000000	-0.000989
761.000000	-0.000993
760.000000	-0.001005
759.000000	-0.001013
758.000000	-0.001017
757.000000	-0.001017
756.000000	-0.001019
755.000000	-0.001017
754.000000	-0.001024
753.000000	-0.001023
752.000000	-0.001025
751.000000	-0.001026
750.000000	-0.001025
749.000000	-0.001035
748.000000	-0.001028
747.000000	-0.001021
746.000000	-0.001008
745.000000	-0.000992
744.000000	-0.000986
743.000000	-0.000961
742.000000	-0.000978
741.000000	-0.000947
740.000000	-0.000835
739.000000	-0.000719
738.000000	-0.000608
737.000000	-0.000635
736.000000	-0.000678
735.000000	-0.000710
734.000000	-0.000704
733.000000	-0.000641
732.000000	-0.000595
731.000000	-0.000567
730.000000	-0.000528
729.000000	-0.000519
728.000000	-0.000528
727.000000	-0.000517
726.000000	-0.000526
725.000000	-0.000515
724.000000	-0.000475
723.000000	-0.000444
722.000000	-0.000395
721.000000	-0.000360
720.000000	-0.000334
719.000000	-0.000302
718.000000	-0.000271
717.000000	-0.000234
716.000000	-0.000191
715.000000	-0.000162
714.000000	-0.000126
713.000000	-0.000091
712.000000	-0.000057
711.000000	-0.000019
710.000000	0.000025
709.000000	0.000061
708.000000	0.000096
707.000000	0.000144
706.000000	0.000175
705.000000	0.000212
704.000000	0.000253
703.000000	0.000293
702.000000	0.000336
701.000000	0.000394
700.000000	0.000443
699.000000	0.000495
698.000000	0.000555
697.000000	0.000598
696.000000	0.000658
695.000000	0.000708
694.000000	0.000755
693.000000	0.000818
692.000000	0.000868
691.000000	0.000931
690.000000	0.001000
689.000000	0.001055
688.000000	0.001114
687.000000	0.001178
686.000000	0.001233
685.000000	0.001300
684.000000	0.001375
683.000000	0.001441
682.000000	0.001519
681.000000	0.001586
680.000000	0.001652
679.000000	0.001722
678.000000	0.001783
677.000000	0.001856
676.000000	0.001910
675.000000	0.001970
674.000000	0.002022
673.000000	0.002085
672.000000	0.002151
671.000000	0.002206
670.000000	0.002268
669.000000	0.002316
668.000000	0.002372
667.000000	0.002434
666.000000	0.002491
665.000000	0.002552
664.000000	0.002615
663.000000	0.002668
662.000000	0.002740
661.000000	0.002799
660.000000	0.002862
659.000000	0.002928
658.000000	0.002984
657.000000	0.003054
656.000000	0.003120
655.000000	0.003189
654.000000	0.003263
653.000000	0.003340
652.000000	0.003407
651.000000	0.003475
650.000000	0.003542
649.000000	0.003601
648.000000	0.003677
647.000000	0.003743
646.000000	0.003810
645.000000	0.003864
644.000000	0.003917
643.000000	0.003968
642.000000	0.004030
641.000000	0.004096
640.000000	0.004154
639.000000	0.004224
638.000000	0.004273
637.000000	0.004317
636.000000	0.004370
635.000000	0.004418
634.000000	0.004471
633.000000	0.004538
632.000000	0.004590
631.000000	0.004632
630.000000	0.004678
629.000000	0.004718
628.000000	0.004759
627.000000	0.004811
626.000000	0.004854
625.000000	0.004896
624.000000	0.004943
623.000000	0.004986
